TIME s, IN1, IN2
2.378, 0.308354, 0.37799
2.373, 0.299788, 0.351637
2.368, 0.291223, 0.336393
2.363, 0.282658, 0.321925
2.358, 0.276947, 0.297897
2.354, 0.265527, 0.28007
2.349, 0.259817, 0.270768
2.344, 0.251251, 0.251391
2.339, 0.245541, 0.232788
2.334, 0.236976, 0.224004
2.329, 0.231265, 0.212377
2.324, 0.219845, 0.192483
2.319, 0.214135, 0.180082
2.314, 0.205569, 0.174139
2.31, 0.199859, 0.157345
2.305, 0.191293, 0.143652
2.3, 0.179873, 0.138485
2.295, 0.174163, 0.128667
2.29, 0.165597, 0.11394
2.285, 0.159887, 0.106189
2.28, 0.151322, 0.100505
2.275, 0.145611, 0.087586
2.271, 0.137046, 0.076993
2.266, 0.128481, 0.07441
2.261, 0.119915, 0.066142
2.256, 0.11135, 0.05374
2.251, 0.10564, 0.051157
2.246, 0.097074, 0.046248
2.241, 0.088509, 0.034363
2.236, 0.082799, 0.02687
2.231, 0.074233, 0.026353
2.227, 0.068523, 0.017311
2.222, 0.059958, 0.008784
2.217, 0.051392, 0.008009
2.212, 0.042827, 0.004909
2.207, 0.037117, -0.005942
2.202, 0.025696, -0.009043
2.197, 0.019986, -0.008784
2.192, 0.011421, -0.017827
2.188, 0.00571, -0.024803
2.183, -0.002855, -0.02222
2.178, -0.008565, -0.026095
2.173, -0.019986, -0.034621
2.168, -0.025696, -0.03488
2.163, -0.034262, -0.036171
2.158, -0.039972, -0.043664
2.153, -0.051392, -0.048831
2.148, -0.057103, -0.045731
2.144, -0.062813, -0.050382
2.139, -0.074233, -0.057616
2.134, -0.079944, -0.05529
2.129, -0.088509, -0.055032
2.124, -0.097074, -0.063558
2.119, -0.10564, -0.065625
2.114, -0.11135, -0.062525
2.109, -0.119915, -0.069242
2.104, -0.125626, -0.073893
2.1, -0.134191, -0.070534
2.095, -0.142756, -0.071309
2.09, -0.151322, -0.07906
2.085, -0.159887, -0.077768
2.08, -0.168452, -0.07596
2.075, -0.177018, -0.082677
2.07, -0.182728, -0.086553
2.065, -0.191293, -0.081902
2.061, -0.197004, -0.085261
2.056, -0.205569, -0.091203
2.051, -0.214135, -0.087845
2.046, -0.2227, -0.08707
2.041, -0.22841, -0.093787
2.036, -0.236976, -0.095596
2.031, -0.245541, -0.090687
2.026, -0.251251, -0.096112
2.021, -0.259817, -0.09973
2.017, -0.268382, -0.095337
2.012, -0.274092, -0.095337
2.007, -0.285513, -0.10128
2.002, -0.291223, -0.10128
1.997, -0.299788, -0.097663
1.992, -0.305499, -0.10283
1.987, -0.314064, -0.106447
1.982, -0.322629, -0.100505
1.978, -0.331195, -0.102055
1.973, -0.336905, -0.107739
1.968, -0.348325, -0.104639
1.963, -0.356891, -0.103088
1.958, -0.362601, -0.108772
1.953, -0.371166, -0.110839
1.948, -0.376877, -0.106189
1.943, -0.385442, -0.109289
1.938, -0.394008, -0.11394
1.934, -0.399718, -0.109289
1.929, -0.408283, -0.107739
1.924, -0.413993, -0.11394
1.919, -0.422559, -0.113165
1.914, -0.433979, -0.108772
1.909, -0.43969, -0.113681
1.904, -0.448255, -0.116782
1.899, -0.453965, -0.111098
1.895, -0.462531, -0.111356
1.89, -0.468241, -0.117557
1.885, -0.479661, -0.114198
1.88, -0.485372, -0.111873
1.875, -0.493937, -0.117298
1.87, -0.499647, -0.119107
1.865, -0.508213, -0.113681
1.86, -0.516778, -0.116782
1.855, -0.525343, -0.121174
1.851, -0.533909, -0.116782
1.846, -0.542474, -0.114715
1.841, -0.551039, -0.120657
1.836, -0.55675, -0.120399
1.831, -0.565315, -0.114973
1.826, -0.57388, -0.119624
1.821, -0.579591, -0.122983
1.816, -0.588156, -0.117557
1.812, -0.596722, -0.11704
1.807, -0.602432, -0.122466
1.802, -0.610997, -0.120916
1.797, -0.619563, -0.117298
1.792, -0.625273, -0.121691
1.787, -0.633838, -0.124791
1.782, -0.639548, -0.11859
1.777, -0.648114, -0.120141
1.772, -0.656679, -0.125049
1.768, -0.662389, -0.120916
1.763, -0.67381, -0.119107
1.758, -0.682375, -0.124791
1.753, -0.688086, -0.125566
1.748, -0.696651, -0.119365
1.743, -0.705216, -0.123241
1.738, -0.710927, -0.127116
1.733, -0.719492, -0.121432
1.729, -0.725202, -0.120399
1.724, -0.733768, -0.125825
1.719, -0.742333, -0.124016
1.714, -0.750898, -0.120657
1.709, -0.756609, -0.125308
1.704, -0.765174, -0.12815
1.699, -0.773739, -0.122207
1.694, -0.782305, -0.122466
1.689, -0.788015, -0.12815
1.685, -0.79658, -0.124791
1.68, -0.805146, -0.122207
1.675, -0.810856, -0.127116
1.67, -0.819421, -0.128667
1.665, -0.825132, -0.122983
1.66, -0.833697, -0.125566
1.655, -0.842262, -0.129958
1.65, -0.850828, -0.125049
1.646, -0.856538, -0.123241
1.641, -0.865103, -0.128925
1.636, -0.873669, -0.128925
1.631, -0.882234, -0.123499
1.626, -0.893655, -0.128408
1.621, -0.899365, -0.13125
1.616, -0.90222, -0.125308
1.611, -0.913641, -0.125308
1.606, -0.922206, -0.130217
1.602, -0.927916, -0.127116
1.597, -0.939337, -0.124274
1.592, -0.945047, -0.129183
1.587, -0.950757, -0.13125
1.582, -0.959323, -0.125308
1.577, -0.967888, -0.127892
1.572, -0.973598, -0.132284
1.567, -0.979308, -0.127116
1.563, -0.990729, -0.125308
1.558, -0.999294, -0.131509
1.553, -1.005005, -0.131767
1.548, -1.01357, -0.125825
1.543, -1.022135, -0.129958
1.538, -1.030701, -0.133059
1.533, -1.036411, -0.127375
1.528, -1.047832, -0.1266
1.523, -1.053542, -0.132025
1.519, -1.062107, -0.130475
1.514, -1.070673, -0.1266
1.509, -1.076383, -0.13125
1.504, -1.082093, -0.133834
1.499, -1.093514, -0.127633
1.494, -1.099224, -0.128667
1.489, -1.107789, -0.133576
