TIME s, IN1, IN2
2.5, 0.502502, 0.441549
2.495, 0.493937, 0.927278
2.49, 0.485372, 1.084623
2.485, 0.476806, 1.206056
2.48, 0.471096, 1.323613
2.476, 0.462531, 1.354617
2.471, 0.45682, 1.439878
2.466, 0.448255, 1.451762
2.461, 0.43969, 1.49956
2.456, 0.431124, 1.518163
2.451, 0.422559, 1.513254
2.446, 0.416849, 1.567511
2.441, 0.408283, 1.54865
2.437, 0.399718, 1.569836
2.432, 0.394008, 1.563377
2.427, 0.385442, 1.568286
2.422, 0.379732, 1.58508
2.417, 0.371166, 1.554592
2.412, 0.365456, 1.583013
2.407, 0.354036, 1.556659
2.402, 0.348325, 1.554076
2.397, 0.33976, 1.558468
2.393, 0.33405, 1.540382
2.388, 0.322629, 1.5471
2.383, 0.316919, 1.512737
2.378, 0.308354, 1.531081
2.373, 0.299788, 1.512737
2.368, 0.291223, 1.486642
2.363, 0.282658, 1.495685
2.358, 0.274092, 1.465973
2.354, 0.268382, 1.470623
2.349, 0.262672, 1.442978
2.344, 0.251251, 1.436002
2.339, 0.248396, 1.428251
2.334, 0.236976, 1.395697
2.329, 0.231265, 1.410165
2.324, 0.219845, 1.379678
2.319, 0.214135, 1.370635
2.314, 0.205569, 1.35255
2.31, 0.199859, 1.336531
2.305, 0.191293, 1.334206
2.3, 0.182728, 1.300101
2.295, 0.174163, 1.306302
2.29, 0.165597, 1.282016
2.285, 0.159887, 1.263155
2.28, 0.151322, 1.261088
2.275, 0.142756, 1.233184
2.271, 0.134191, 1.230342
2.266, 0.128481, 1.199597
2.261, 0.12277, 1.197271
2.256, 0.114205, 1.182286
2.251, 0.102785, 1.155157
2.246, 0.097074, 1.157224
2.241, 0.088509, 1.129321
2.236, 0.082799, 1.122603
2.231, 0.074233, 1.101417
2.227, 0.068523, 1.089791
2.222, 0.057103, 1.077906
2.217, 0.051392, 1.047419
2.212, 0.042827, 1.053878
2.207, 0.034262, 1.030366
2.202, 0.025696, 1.010989
2.197, 0.019986, 1.003496
2.192, 0.011421, 0.984894
2.188, 0.00571, 0.976368
2.183, -0.00571, 0.949498
2.178, -0.011421, 0.950531
2.173, -0.019986, 0.930378
2.168, -0.031406, 0.906609
2.163, -0.037117, 0.908159
2.158, -0.045682, 0.886456
2.153, -0.051392, 0.87483
2.148, -0.057103, 0.853385
2.144, -0.065668, 0.848993
2.139, -0.077088, 0.834524
2.134, -0.082799, 0.808946
2.129, -0.091364, 0.811788
2.124, -0.097074, 0.790085
2.119, -0.10564, 0.776134
2.114, -0.11135, 0.764249
2.109, -0.12277, 0.750555
2.104, -0.128481, 0.739962
2.1, -0.134191, 0.716709
2.095, -0.142756, 0.719293
2.09, -0.151322, 0.701207
2.085, -0.159887, 0.682605
2.08, -0.168452, 0.676921
2.075, -0.177018, 0.660902
2.07, -0.182728, 0.651084
2.065, -0.191293, 0.631707
2.061, -0.197004, 0.627573
2.056, -0.208424, 0.614396
2.051, -0.214135, 0.594502
2.046, -0.2227, 0.593727
2.041, -0.231265, 0.57745
2.036, -0.236976, 0.56479
2.031, -0.245541, 0.551096
2.026, -0.254106, 0.544379
2.021, -0.259817, 0.531719
2.017, -0.268382, 0.511824
2.012, -0.276947, 0.512858
2.007, -0.285513, 0.498648
2.002, -0.291223, 0.484179
1.997, -0.299788, 0.476945
1.992, -0.308354, 0.466352
1.987, -0.316919, 0.454467
1.982, -0.322629, 0.437673
1.978, -0.331195, 0.437156
1.973, -0.33976, 0.424238
1.968, -0.348325, 0.406152
1.963, -0.351181, 0.404861
1.958, -0.362601, 0.393751
1.953, -0.371166, 0.379541
1.948, -0.376877, 0.368689
1.943, -0.382587, 0.365847
1.938, -0.394008, 0.351379
1.934, -0.399718, 0.337685
1.929, -0.408283, 0.337427
1.924, -0.416849, 0.327092
1.919, -0.422559, 0.312365
1.914, -0.431124, 0.304614
1.909, -0.43969, 0.300997
1.904, -0.448255, 0.286787
1.899, -0.453965, 0.274127
1.895, -0.462531, 0.274127
1.89, -0.471096, 0.262501
1.885, -0.479661, 0.249841
1.88, -0.485372, 0.245965
1.875, -0.493937, 0.238472
1.87, -0.502502, 0.225812
1.865, -0.508213, 0.215478
1.86, -0.516778, 0.215219
1.855, -0.525343, 0.202818
1.851, -0.531054, 0.191191
1.846, -0.539619, 0.190416
1.841, -0.551039, 0.182924
1.836, -0.55675, 0.17078
1.831, -0.565315, 0.162771
1.826, -0.57388, 0.161996
1.821, -0.582446, 0.149078
1.816, -0.585301, 0.140035
1.812, -0.596722, 0.13926
1.807, -0.602432, 0.131509
1.802, -0.610997, 0.120657
1.797, -0.619563, 0.116265
1.792, -0.628128, 0.113165
1.787, -0.633838, 0.101021
1.782, -0.639548, 0.092237
1.777, -0.648114, 0.092754
1.772, -0.656679, 0.084486
1.768, -0.662389, 0.074668
1.763, -0.67381, 0.072084
1.758, -0.682375, 0.068984
1.753, -0.688086, 0.057357
1.748, -0.696651, 0.050898
1.743, -0.705216, 0.052707
1.738, -0.710927, 0.041597
1.733, -0.719492, 0.034104
1.729, -0.725202, 0.033329
1.724, -0.736623, 0.030229
1.719, -0.742333, 0.019894
1.714, -0.750898, 0.015502
1.709, -0.756609, 0.017052
1.704, -0.765174, 0.004134
1.699, -0.770884, -0.001033
1.694, -0.77945, 0.000258
1.689, -0.78516, -0.004909
1.685, -0.79658, -0.013952
1.68, -0.805146, -0.01576
1.675, -0.810856, -0.015502
1.67, -0.819421, -0.027387
1.665, -0.827987, -0.032296
1.66, -0.836552, -0.029454
1.655, -0.842262, -0.039272
1.65, -0.850828, -0.043922
1.646, -0.859393, -0.044181
1.641, -0.867959, -0.045731
1.636, -0.870814, -0.055032
1.631, -0.882234, -0.058133
1.626, -0.8908, -0.054257
1.621, -0.89651, -0.065884
1.616, -0.905075, -0.069242
1.611, -0.913641, -0.067175
1.606, -0.922206, -0.070276
1.602, -0.927916, -0.077252
1.597, -0.936482, -0.079577
1.592, -0.945047, -0.077252
1.587, -0.953612, -0.087845
1.582, -0.959323, -0.089912
1.577, -0.967888, -0.086553
1.572, -0.973598, -0.09327
1.567, -0.979308, -0.097146
1.563, -0.990729, -0.097921
1.558, -0.999294, -0.096112
1.553, -1.00786, -0.10593
1.548, -1.01357, -0.107997
1.543, -1.022135, -0.10128
1.538, -1.033556, -0.112131
1.533, -1.036411, -0.114456
